Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554754442,SMP,1,4.66,4.84,4.66,4.84,112.32,655.73,69.48,641.71,0
554756463,SMP,1,4.48,4.84,4.84,4.48,105.6,656.82,67.42,647.23,0
554758441,SMP,1,4.66,4.66,4.84,4.84,102.79,649.31,70.87,649.67,0
554760463,SMP,1,4.66,4.66,4.84,4.66,109.15,651.71,65.6,648.23,0
554762452,SMP,1,4.66,4.84,4.84,4.66,104.66,653.24,62.91,650.36,0
554764444,SMP,1,4.48,4.84,4.84,4.84,110.73,659.84,70.09,646.6,0
554766453,SMP,1,4.66,4.84,4.84,4.66,113.13,650.89,64.31,642.9,0
554768437,SMP,1,4.48,4.66,4.84,4.48,111.83,657.41,65.8,646.4,0
554770456,SMP,1,4.48,4.84,4.84,4.84,105.95,652.69,54.34,638.55,0
554772454,SMP,1,4.48,4.84,4.84,4.66,109.72,651.09,70.28,647.55,0
554774456,SMP,1,4.48,4.84,4.84,4.66,115.6,651.29,65.66,643.97,0
554776454,SMP,1,4.66,4.84,4.66,4.84,111.53,645.8,63.77,638.57,0
554778455,SMP,1,4.66,4.84,4.66,4.84,110.67,651.37,66.89,639.2,0
554780455,SMP,1,4.66,4.84,4.84,4.66,109.55,655.9,65.21,647.43,0
554782454,SMP,1,4.66,5.01,4.84,4.66,105.67,655.22,66.44,653.79,0
554784442,SMP,1,4.48,5.01,4.84,4.66,101.82,651.15,66.49,651.69,0
554786454,SMP,1,4.48,4.84,4.84,4.66,104.19,649.91,70.6,644.39,0
554788457,SMP,1,4.48,5.01,4.84,4.66,108.4,651.19,68.5,648.37,0
554790457,SMP,1,4.66,5.01,4.84,4.66,102.23,645.0,73.49,642.95,0
554792458,SMP,1,4.48,4.66,4.66,4.48,104.12,653.17,67.3,644.92,0
554794461,SMP,1,4.48,4.66,4.66,4.66,101.55,655.68,74.83,654.23,0
554796455,SMP,1,4.48,5.01,4.84,4.66,98.57,653.34,60.07,648.82,0
554798456,SMP,1,4.48,4.66,4.84,4.84,107.13,649.45,67.8,653.51,0
554800455,SMP,1,4.48,4.66,4.84,4.66,105.4,656.13,66.78,645.27,0
554802452,SMP,1,4.48,4.84,4.84,4.66,111.42,656.4,70.95,646.71,0
554804464,SMP,1,4.48,5.01,4.84,4.84,108.24,656.95,61.54,647.38,0
554806462,SMP,1,4.48,5.01,4.84,4.84,106.61,656.27,58.53,641.3,0
554808459,SMP,1,4.48,4.66,4.84,4.48,104.29,651.68,62.51,648.68,0
554810478,SMP,1,4.66,4.84,4.84,4.66,107.34,652.55,72.45,641.31,0
554812463,SMP,1,4.66,4.66,4.84,4.84,113.1,656.12,67.89,641.88,0
554814463,SMP,1,4.66,4.84,4.84,4.66,110.05,648.64,66.5,643.27,0
554816462,SMP,1,4.48,4.84,4.84,4.48,111.62,656.82,67.09,644.59,0
554818463,SMP,1,4.48,4.84,4.84,4.66,115.7,658.88,66.24,640.56,0
554820462,SMP,1,4.66,4.84,4.84,4.66,104.95,658.64,66.43,638.73,0
554822466,SMP,1,4.48,4.84,4.84,4.48,106.31,656.85,64.67,645.8,0
554824465,SMP,1,4.48,4.84,4.84,4.84,106.53,654.63,69.93,642.62,0
554826463,SMP,1,4.66,4.84,4.84,4.66,100.06,651.35,71.45,653.25,0
554828459,SMP,1,4.66,4.84,4.84,4.66,106.52,649.0,70.53,642.38,0
554830467,SMP,1,4.48,4.66,4.84,4.84,107.02,655.55,64.03,640.98,0
554832465,SMP,1,4.48,4.84,4.84,4.48,111.71,644.73,69.09,649.88,0
554834471,SMP,1,4.48,4.66,4.66,4.84,103.98,649.71,64.05,646.63,0
554836487,SMP,1,4.66,4.84,4.84,4.84,108.44,652.08,67.61,643.91,0
554838466,SMP,1,4.66,5.01,4.66,4.66,106.08,653.17,69.09,651.66,0
554840463,SMP,1,4.66,4.84,4.84,4.66,108.53,657.29,68.86,644.11,0
554842439,SMP,1,4.48,4.84,4.84,4.84,109.27,656.62,71.33,644.75,0
554844468,SMP,1,4.48,5.01,4.84,4.66,102.62,648.4,67.58,637.32,0
554846464,SMP,1,4.48,4.84,4.84,4.84,105.64,656.03,71.19,641.9,0
554848465,SMP,1,4.48,4.84,4.84,4.66,101.91,651.48,70.99,638.38,0
554850472,SMP,1,4.66,4.84,4.84,4.84,114.21,655.92,74.8,637.61,0
554852472,SMP,1,4.66,5.01,4.84,4.66,104.09,662.77,75.93,643.17,0
554854471,SMP,1,4.48,4.84,4.84,4.66,109.82,660.73,67.8,644.93,0
554856471,SMP,1,4.48,5.01,4.84,4.48,105.0,648.29,71.08,645.2,0
554858466,SMP,1,4.48,4.84,4.84,4.84,97.96,656.71,68.85,642.5,0
554860487,SMP,1,4.48,4.84,4.84,4.84,110.21,662.04,64.19,637.29,0
554862473,SMP,1,4.48,4.84,4.84,4.84,99.9,644.45,66.31,639.6,0
554864472,SMP,1,4.66,5.01,4.84,4.66,108.07,662.51,73.84,639.8,0
554866474,SMP,1,4.66,4.84,4.84,4.66,108.96,653.56,74.62,644.14,0
554868475,SMP,1,4.48,4.84,4.84,4.84,111.84,657.21,75.17,649.17,0
554870474,SMP,1,4.48,5.01,4.84,4.66,106.51,655.72,69.29,648.09,0
554872476,SMP,1,4.66,4.84,4.84,4.84,104.26,641.83,69.27,645.77,0
